,level_0,index,production_countries,popularity,vote_average,overview,genres,keywords,production_companies,weighted_rating,release_year,genre_embedding,keywords_embedding,production_comp_embedding,production_count_embedding
388,388,2035,['united kingdom'],28.5,7.866,"['sherlock', 'holmes', 'watson', 'find', 'london', 'holiday', 'special']","['crime', 'drama', 'mystery', 'tv', 'movie']","['bride', 'tv', 'episode', 'sherlock', 'holmes']",['bbc'],7.416797891154747,2010s,"[ 0.00097217  0.02504841  0.07500515 -0.00755819  0.01349493 -0.0296168
  0.13144575  0.0856987  -0.0602272   0.03743757]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[-0.13919449  0.13141698  0.18193896 -0.09758576 -0.08212562]
389,389,225,['united states of america'],27.891,7.503,"['seasoned', 'musician', 'jackson', 'maine', 'discovers', 'falls', 'love', 'struggling', 'artist', 'ally', 'given', 'dream', 'make', 'big', 'singer', 'jack', 'coaxes', 'spotlight', 'even', 'ally', 'career', 'takes', 'personal', 'side', 'relationship', 'breaking', 'jack', 'fights', 'ongoing', 'battle', 'internal', 'demons']","['music', 'drama', 'romance']","['concert', 'country', 'music', 'waitress', 'pop', 'star', 'talent', 'addiction', 'death', 'father', 'alcoholism', 'remake', 'aspiring', 'singer', 'singer', 'fame', 'tinnitus', 'falling', 'love', 'insecurity', 'alcoholic', 'death', 'mother', 'aspiration', 'death', 'parent', 'showbiz', 'emotional', 'vulnerability', 'hearing', 'impaired', 'brother', 'brother', 'relationship']","['thunder road', '22 & green', 'gerber pictures', 'joint effort', 'malpaso productions', 'warner bros. pictures', 'live nation productions']",7.416217783219202,2010s,"[-0.02201696  0.03049136  0.08642119  0.00425765  0.05433866 -0.03112486
  0.05328705  0.0618324  -0.08509197  0.0085852 ]","[ 3.3849966e-02  8.5599385e-02  4.6612978e-01  5.4739165e-04
  3.3184189e-01  1.4568275e-01  7.6172686e-01  3.6474815e-01
 -5.4828900e-01 -5.4684174e-01]",[ 0.02831329  0.31300017  0.40907586  0.09765472 -0.22045057],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
390,390,422,"['france', 'united kingdom', 'united states of america']",46.212,7.54,"['shaun', 'lives', 'supremely', 'uneventful', 'life', 'revolves', 'around', 'girlfriend', 'mother', 'local', 'pub', 'gentle', 'routine', 'threatened', 'dead', 'return', 'life', 'make', 'strenuous', 'attempts', 'snack', 'ordinary', 'londoners']","['horror', 'comedy']","['london', 'england', 'dark', 'comedy', 'satire', 'surrey', 'parody', 'slacker', 'friends', 'survival', 'zombie', 'survival', 'horror', 'british', 'pub', 'boyfriend', 'girlfriend', 'relationship', 'zombie', 'apocalypse']","['wt2 productions', 'studiocanal', 'working title films', 'big talk productions', 'film4 productions', 'rogue pictures', 'universal pictures']",7.416124851067325,2000s,"[-0.00063418  0.02314351  0.06793039 -0.0188292   0.11990593 -0.0097175
  0.11881139  0.14036423 -0.14894718 -0.03351374]","[ 0.07150325  0.04848465  0.55231524 -0.05778499  0.20847434  0.18655011
  0.74124926  0.4210646  -0.44675452 -0.43339497]",[ 0.01591764  0.16525201  0.26188782  0.06638583 -0.10474038],[ 0.00247073  0.03741594  0.06695389  0.0737448  -0.1278733 ]
391,391,508,"['france', 'united kingdom', 'united states of america']",24.96,7.554,"['former', 'london', 'constable', 'nicholas', 'angel', 'finds', 'difficult', 'adapt', 'new', 'assignment', 'sleepy', 'british', 'village', 'sandford', 'miss', 'excitement', 'big', 'city', 'also', 'oaf', 'partner', 'however', 'series', 'grisly', 'accidents', 'rocks', 'sandford', 'angel', 'smells', 'something', 'rotten', 'idyllic', 'village']","['crime', 'action', 'comedy']","['police', 'village', 'arrest', 'parody', 'partner', 'murder', 'rural', 'area', 'conspiracy', 'serial', 'killer', 'gunfight', 'english', 'countryside', 'police', 'force', 'buddy', 'cop', 'accident']","['universal pictures', 'big talk productions', 'studiocanal', 'working title films', 'focus features', 'rogue pictures']",7.41546276819741,2000s,"[ 0.00466721  0.06688152  0.09328266 -0.0188103   0.06774872 -0.04440881
  0.12911814  0.09193534 -0.1677122  -0.03088533]","[ 0.06123735  0.14146309  0.6874351  -0.05961153  0.39219233  0.3399131
  0.48057783  0.46218607 -0.42141962 -0.6435552 ]",[-0.00255348  0.17630763  0.27124438  0.04729159 -0.07580794],[ 0.00247073  0.03741594  0.06695389  0.0737448  -0.1278733 ]
392,392,1582,"['france', 'united kingdom']",15.172,7.749,"['man', 'without', 'attachments', 'responsibilities', 'suddenly', 'finds', 'abandoned', 'baby', 'leaves', 'london', 'try', 'find', 'mother', 'eight', 'years', 'later', 'daughter', 'become', 'inseparable', 'gloria', 'mother', 'reappears']","['drama', 'comedy']","['london', 'england', 'single', 'parent', 'parent', 'child', 'relationship', 'stuntman', 'remake', 'parenting', 'single', 'father', 'lying', 'absent', 'parent', 'frenchman', 'abroad']","['mars films', 'poisson rouge pictures', 'tf1 films production', 'korokoro', 'vendôme production']",7.4129304187391565,2010s,"[-0.00322802  0.06931491  0.12574801 -0.01404555  0.06219293 -0.08482287
  0.1267814   0.15272951 -0.1629309  -0.05003268]","[ 0.02021265  0.0427833   0.42943507 -0.02934614  0.30576426  0.1899506
  0.7589962   0.33577967 -0.58515555 -0.5448278 ]",[ 0.22738218  0.46313083  0.3960058  -0.02558213 -0.06764019],[ 0.00690468  0.05217064  0.04758926  0.01876912 -0.09450033]
393,393,1601,['spain'],49.962,7.753,"['story', 'two', 'young', 'people', 'belong', 'different', 'worlds', 'chronicle', 'love', 'improbable', 'almost', 'impossible', 'inevitable', 'dragging', 'frantic', 'journey', 'discover', 'first', 'great', 'love', 'babi', 'girl', 'class', 'educated', 'goodness', 'innocence', 'hache', 'rebellious', 'boy', 'impulsive', 'unconscious', 'appetite', 'risk', 'danger', 'embodied', 'endless', 'fights', 'illegal', 'motorbike', 'races', 'limit', 'common', 'sense']","['romance', 'drama']","['friendship', 'based', 'novel', 'book', 'rebel', 'forbidden', 'love', 'motorcycle', 'crash', 'motor', 'sport', 'street', 'race', 'love', 'best', 'friend', 'motorcycle', 'teenage', 'love', 'first', 'love', 'young', 'love', 'illegal', 'grand', 'prix', 'race', 'teen', 'rebel', 'based', 'young', 'adult', 'novel']",['atresmedia'],7.411973651895895,2010s,"[-0.02201696  0.03049136  0.08642119  0.00425765  0.05433866 -0.03112486
  0.05328705  0.0618324  -0.08509197  0.0085852 ]","[ 0.0902596   0.09955717  0.569613   -0.17023548  0.00673563  0.08967619
  0.7647108   0.5183059  -0.39913145 -0.31426653]",[ 0.16008563  0.21278624  0.24285547 -0.1682109   0.03669044],[0. 0. 0. 0. 0.]
394,394,388,['united states of america'],77.94,7.527,"['set', 'european', 'village', 'animation', 'feature', 'follows', 'story', 'victor', 'young', 'man', 'whisked', 'away', 'underworld', 'wed', 'mysterious', 'corpse', 'bride', 'real', 'bride', 'victoria', 'waits', 'bereft', 'land', 'living']","['romance', 'fantasy', 'animation']","['skeleton', 'love', 'triangle', 'cheating', 'wedding', 'vows', 'shyness', 'arranged', 'marriage', 'marriage', 'grave', 'musical', 'wedding', 'ring', 'money', 'stop', 'motion', 'wedding', 'corpse', 'wedding', 'ceremony', 'playing', 'piano', 'parents', 'dark', 'fantasy', 'ring', 'scoundrel', 'century', 'underworld']","['tim burton productions', 'laika entertainment', 'patalex productions', 'warner bros. pictures', 'will vinton studios', 'tim burton animation company']",7.411215491839355,2000s,"[ 0.00410666  0.04699668  0.08708922 -0.11344973  0.13256712  0.00499775
  0.04880852  0.04553731 -0.08578453  0.00508554]","[ 0.11148057  0.20982665  0.5311868  -0.21921244  0.17617863  0.14063948
  0.7923702   0.37215522 -0.5031327  -0.37442967]","[-3.4892187e-04  2.2066805e-01  4.3663228e-01  4.9501967e-02
 -1.4633694e-01]",[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
395,395,1188,"['united kingdom', 'united states of america']",10.591,7.666,"['mexico', 'city', 'two', 'domestic', 'workers', 'help', 'mother', 'four', 'husband', 'away', 'extended', 'period', 'time']",['drama'],"['mexico', 'city', 'mexico', 'middle', 'class', 'family', 'relationships', 'black', 'white', 'maid', 'autobiographical', 'master', 'servant', 'relationship', 'domestic', 'worker']","['participant', 'esperanto filmoj']",7.409584503813189,2010s,"[-0.03745704  0.03769625  0.1064771   0.0366094  -0.02885622 -0.0978338
  0.15109776  0.15718275 -0.1352962  -0.04537118]","[ 0.05606202  0.00886979  0.41207114 -0.02046222  0.28857243  0.25948942
  0.8316929   0.4161908  -0.5212531  -0.40760237]",[-0.13528477  0.30404055  0.2965794   0.02568047  0.00551065],[-0.07279584  0.06966176  0.14381105  0.04305519 -0.13837245]
396,396,1208,['united states of america'],26.683,7.667,"['gilbert', 'grape', 'young', 'man', 'lot', 'responsibility', 'chief', 'among', 'concerns', 'mother', 'overweight', 'ca', 'leave', 'house', 'mentally', 'impaired', 'younger', 'brother', 'arnie', 'knack', 'finding', 'trouble', 'settled', 'job', 'grocery', 'store', 'ongoing', 'affair', 'local', 'woman', 'betty', 'carver', 'gilbert', 'finally', 'life', 'shaken', 'becky']","['romance', 'drama']","['mentally', 'disabled', 'sibling', 'relationship', 'based', 'novel', 'book', 'widow', 'iowa', 'dysfunctional', 'family', 'obesity', 'single', 'mother', 'grocery', 'store', 'mentally', 'handicapped', 'child']",['paramount'],7.407604405315244,1990s,"[-0.02201696  0.03049136  0.08642119  0.00425765  0.05433866 -0.03112486
  0.05328705  0.0618324  -0.08509197  0.0085852 ]","[ 0.03215351  0.01893278  0.48259607  0.00689375  0.11947976  0.11377537
  0.78249675  0.39312336 -0.5622331  -0.46616662]",[0.19631065 0.38730285 0.45560303 0.02980926 0.05346427],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
397,397,1124,"['united kingdom', 'france', 'united states of america']",24.878,7.652,"['fledgling', 'writer', 'briony', 'tallis', 'irrevocably', 'changes', 'course', 'several', 'lives', 'accuses', 'older', 'sister', 'lover', 'crime', 'commit']","['drama', 'romance']","['new', 'love', 'sibling', 'relationship', 'based', 'novel', 'book', 'wind', 'nurse', 'loss', 'loved', 'one', 'flirt', 'world', 'war', 'ii', 'innocence', 'lie', 'letter', 'twist', 'redemption', 'mistake', 'author', 'summer', 'dunkirk', 'london', 'blitz', 'sepsis']","['universal pictures', 'relativity media', 'working title films', 'studiocanal', 'focus features']",7.407133184597007,2000s,"[-0.02201696  0.03049136  0.08642119  0.00425765  0.05433866 -0.03112486
  0.05328705  0.0618324  -0.08509197  0.0085852 ]","[-0.0047217   0.12469649  0.5887573  -0.07309671  0.08290333  0.12516794
  0.7225349   0.455617   -0.46492532 -0.38328987]",[-0.0099493   0.24847719  0.3209364   0.0493029  -0.03264134],[ 0.00247073  0.03741594  0.06695389  0.0737448  -0.1278733 ]
398,398,571,['united states of america'],24.668,7.552,"['true', 'story', 'captain', 'richard', 'phillips', 'hijacking', 'somali', 'pirates', 'mv', 'maersk', 'alabama', 'first', 'american', 'cargo', 'ship', 'hijacked', 'two', 'hundred', 'years']","['action', 'drama', 'thriller']","['ship', 'fisherman', 'hijacking', 'somalia', 'poverty', 'pirate', 'terrorism', 'commando', 'hijack', 'cargo', 'ship', 'ship', 'hijacking', 'somali']","['columbia pictures', 'michael de luca productions', 'scott rudin productions', 'trigger street productions']",7.40567212004651,2010s,"[-0.05682878  0.06290267  0.04269692 -0.03547599  0.04165196 -0.06662712
  0.11785853  0.15787013 -0.14050303 -0.01898375]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 0.06102787  0.21911208  0.22762077  0.07869712 -0.1399479 ],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
399,399,2032,['united states of america'],55.283,7.843,"['set', 'bronx', 'tumultuous', 'adolescent', 'boy', 'torn', 'honest', 'father', 'violent', 'yet', 'charismatic', 'crime', 'boss', 'complicating', 'matters', 'youngster', 'growing', 'attraction', 'forbidden', 'neighborhood', 'beautiful', 'black', 'girl']","['drama', 'crime']","['italian', 'american', 'gambling', 'funeral', 'italian', 'parent', 'child', 'relationship', 'gangster', 'black', 'people', 'loyalty', 'molotow', 'cocktail', 'gang', 'leader', 'nostalgia', 'game', 'dice', 'bus', 'driver', 'mafia', 'best', 'friend', 'witness', 'murder', 'hoodlum', 'xenophobia', 'bronx', 'new', 'york', 'city', 'father', 'figure', 'confession', 'booth']","['savoy pictures', 'hbo films']",7.40510263076912,1990s,"[-0.03579297  0.04640014  0.09911034  0.03421411 -0.02023685 -0.04881215
  0.13468458  0.07645815 -0.11096399  0.01019916]","[ 0.04915489  0.07770813  0.5076442  -0.04075376  0.28969473  0.25912884
  0.7786658   0.38723442 -0.4532579  -0.4255062 ]",[0. 0. 0. 0. 0.],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
400,400,187,['united states of america'],49.215,7.481,"['elastigirl', 'springs', 'action', 'save', 'day', 'incredible', 'faces', 'greatest', 'challenge', 'yet', 'taking', 'care', 'problems', 'three', 'children']","['action', 'adventure', 'animation', 'family']","['married', 'couple', 'superhero', 'cartoon', 'sequel', 'parenting', 'family', 'super', 'power']","['walt disney pictures', 'pixar']",7.403438651390804,2010s,"[-0.06383701  0.04471966  0.12632765 -0.09033043  0.11637225 -0.05544512
  0.13246639  0.10829245 -0.15172017 -0.0477662 ]","[ 0.20632444 -0.2545342   0.78125906 -0.21766911 -0.18578011  0.11834762
  0.68647575  0.4736681  -0.29663768 -0.34635177]",[-0.1087677   0.1153611   0.20450279 -0.13611412 -0.05188193],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
401,401,645,['united states of america'],24.586,7.56,"['honor', 'birthday', 'san', 'francisco', 'banker', 'nicholas', 'van', 'orton', 'financial', 'genius', 'loner', 'receives', 'unusual', 'present', 'younger', 'brother', 'conrad', 'gift', 'certificate', 'play', 'unique', 'kind', 'game', 'nary', 'nanosecond', 'nicholas', 'finds', 'consumed', 'dangerous', 'set', 'rules', 'unable', 'distinguish', 'charade', 'ends', 'reality', 'begins']","['drama', 'thriller', 'mystery']","['suicide', 'sibling', 'relationship', 'san', 'francisco', 'california', 'birthday', 'gun', 'key', 'manipulation', 'restaurant', 'danger', 'life', 'birthday', 'party', 'game', 'millionaire', 'surprising', 'trapped', 'elevator', 'birthday', 'present', 'investment', 'banker', 'puzzlement']","['polygram filmed entertainment', 'propaganda films']",7.403436982314069,1990s,"[-0.03770447  0.04214868  0.03726668 -0.05799386  0.04809761 -0.04316116
  0.10397524  0.14866467 -0.05144116  0.04623148]","[ 0.08472645  0.08746596  0.55307096 -0.08066348  0.25173658  0.2087148
  0.6516815   0.44019422 -0.5648677  -0.46707895]",[ 0.02728944  0.08505581  0.19120052 -0.16728538 -0.00646627],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
402,402,300,['united states of america'],36.465,7.5,"['cartoonist', 'teams', 'ace', 'reporter', 'law', 'enforcement', 'officer', 'track', 'elusive', 'serial', 'killer']","['crime', 'drama', 'mystery', 'thriller']","['newspaper', 'journalist', 'california', 'based', 'novel', 'book', 'police', 'san', 'francisco', 'california', 'killing', 'detective', 'investigation', 'victim', 'code', 'murder', 'serial', 'killer', 'crime', 'scene', 'reporter', 'whodunit', 'alcoholic', 'young', 'man', 'fourth', 'july', 'newspaper', 'article', 'cartoonist', 'zodiac', 'killer', 'bar']","['paramount', 'phoenix pictures', 'warner bros. pictures']",7.402684789902276,2000s,"[-0.03681058  0.04538751  0.0508859  -0.03554069  0.03316884 -0.0323185
  0.10754928  0.11043188 -0.06023882  0.05111598]","[ 0.07213575  0.10884675  0.6423869  -0.11576967  0.17653309  0.24754496
  0.5926557   0.46479028 -0.4092066  -0.52035135]",[ 0.05392431  0.28587553  0.4228742   0.03914991 -0.02164725],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
403,403,515,"['france', 'spain', 'united states of america']",25.087,7.535,"['romantic', 'comedy', 'family', 'traveling', 'french', 'capital', 'business', 'party', 'includes', 'young', 'engaged', 'couple', 'forced', 'confront', 'illusion', 'life', 'different', 'better']","['fantasy', 'comedy', 'romance']","['paris', 'france', 'based', 'novel', 'book', 'detective', 'screenwriter', 'camping', 'diary', 'time', 'travel', 'forbidden', 'love', 'painter', 'midnight', 'nostalgia', 'past', 'versailles', 'sculpture', 'romance', 'magic', 'realism', 'art', 'history', 'back', 'time', 'wine', 'drinking']","['pontchartrain productions', 'gravier productions', 'mediapro', 'versátil cinema', 'tv3', 'firstep', 'imagina international sales', 'sony pictures classics']",7.399351876350591,2010s,"[ 0.01555618  0.08321962  0.08721498 -0.08251258  0.13716686 -0.0198155
  0.07283393  0.05828495 -0.11427077 -0.03044378]","[ 0.09824694 -0.01200441  0.6281203  -0.17115083 -0.01271754  0.18619013
  0.77261794  0.42326546 -0.33911964 -0.34944174]",[-0.01696372  0.01129327  0.1445089   0.09148057 -0.07966104],[ 0.07330333 -0.00958458  0.00946135  0.15941006 -0.15074715]
404,404,626,['united states of america'],76.823,7.551,"['kuzco', 'emperor', 'summons', 'pacha', 'village', 'tell', 'home', 'destroyed', 'make', 'room', 'kuzco', 'new', 'summer', 'home', 'kuzco', 'advisor', 'yzma', 'tries', 'poison', 'kuzco', 'accidentally', 'turns', 'llama', 'accidentally', 'ends', 'pacha', 'village', 'pacha', 'offers', 'help', 'kuzco', 'destroy', 'house', 'form', 'unlikely', 'partnership']","['adventure', 'animation', 'comedy', 'family', 'fantasy']","['central', 'south', 'america', 'kingdom', 'birthday', 'peru', 'emperor', 'palace', 'berater', 'breaking', 'fourth', 'wall', 'incan', 'empire', 'assassination', 'attempt', 'century', 'llama']","['walt disney pictures', 'walt disney feature animation']",7.399261425930662,2000s,"[-0.04384643  0.07212882  0.13150094 -0.11144324  0.13556692 -0.05103742
  0.1252546   0.10194927 -0.1377732  -0.04824128]","[ 0.10507866  0.14150834  0.58982426  0.03027447  0.05268483  0.15792899
  0.75589657  0.44273078 -0.28564116 -0.4733115 ]",[ 0.02867893  0.08400477  0.06627495 -0.16850531 -0.12704808],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
405,405,333,['united states of america'],61.083,7.5,"['woody', 'always', 'confident', 'place', 'world', 'priority', 'taking', 'care', 'kid', 'whether', 'andy', 'bonnie', 'bonnie', 'adds', 'reluctant', 'new', 'toy', 'called', 'forky', 'room', 'road', 'trip', 'adventure', 'alongside', 'old', 'new', 'friends', 'show', 'woody', 'big', 'world', 'toy']","['family', 'adventure', 'animation', 'comedy', 'fantasy']","['friendship', 'cartoon', 'rescue', 'mission', 'sequel', 'buddy', 'cowboy', 'duringcreditsstinger', 'toy', 'comes', 'life']","['walt disney pictures', 'pixar']",7.398276875290139,2010s,"[-0.04384642  0.07212882  0.13150094 -0.11144324  0.13556692 -0.05103742
  0.1252546   0.10194927 -0.1377732  -0.04824128]","[ 0.08068805 -0.05598969  0.7319572  -0.15535864  0.06865986  0.20439744
  0.6498387   0.42266306 -0.3440348  -0.4227984 ]",[-0.1087677   0.1153611   0.20450279 -0.13611412 -0.05188193],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
406,406,500,"['germany', 'united states of america']",33.641,7.53,"['turned', 'smuggler', 'mende', 'fisherman', 'amid', 'explosive', 'civil', 'war', 'overtaking', 'sierra', 'leone', 'men', 'join', 'two', 'desperate', 'missions', 'recovering', 'rare', 'pink', 'diamond', 'immense', 'value', 'rescuing', 'fisherman', 'son', 'conscripted', 'child', 'soldier', 'brutal', 'rebel', 'forces', 'ripping', 'swath', 'torture', 'bloodshed', 'countrywide']","['drama', 'thriller', 'action']","['bootlegger', 'journalist', 'smuggling', 'contraband', 'loss', 'loved', 'one', 'africa', 'rwandan', 'genocide', 'rebel', 'journalism', 'slavery', 'fisherman', 'mercenary', 'diamond', 'mine', 'sierra', 'leone', 'special', 'unit', 'oppression', 'private', 'military', 'company']","['virtual studios', 'spring creek productions', 'bedford falls productions', 'initial entertainment group', 'lonely film productions gmbh & co. kg.', 'warner bros. pictures', 'liberty pictures']",7.397940528213593,2000s,"[-0.05682877  0.06290267  0.04269691 -0.035476    0.04165196 -0.06662712
  0.11785853  0.15787013 -0.14050303 -0.01898375]","[-0.13947456  0.19587247  0.61981887  0.04375396  0.09550808  0.07633308
  0.6364997   0.476245   -0.5435109  -0.5357668 ]",[ 0.14032897  0.15894642  0.27838945  0.06255981 -0.07312627],[-0.01978905  0.03386526  0.06420838  0.01036769 -0.19470239]
407,407,939,['united states of america'],39.933,7.603,"['high', 'school', 'slacker', 'ferris', 'bueller', 'successfully', 'fakes', 'illness', 'order', 'skip', 'school', 'day', 'goes', 'series', 'adventures', 'throughout', 'chicago', 'girlfriend', 'sloane', 'best', 'friend', 'cameron', 'trying', 'outwit', 'wily', 'school', 'principal', 'sister']",['comedy'],"['chicago', 'illinois', 'high', 'school', 'independence', 'coming', 'age', 'caper', 'breaking', 'fourth', 'wall', 'teen', 'movie', 'fantasy', 'sequence', 'car', 'theft', 'skipping', 'school', 'aftercreditsstinger', 'duringcreditsstinger', 'truancy', 'day', 'life', 'teenager']",['paramount'],7.397046490304527,1980s,"[ 0.03100099  0.10093358  0.14501892 -0.06470049  0.15324208 -0.07181194
  0.10246505  0.14827625 -0.1905656  -0.05469418]","[ 0.10229357 -0.00363756  0.51105684 -0.24027227  0.05603261  0.13589141
  0.8199533   0.49434087 -0.5073915  -0.28798488]",[0.19631065 0.38730285 0.45560303 0.02980926 0.05346427],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
408,408,102,"['france', 'netherlands', 'united kingdom', 'united states of america']",34.529,7.456,"['story', 'miraculous', 'evacuation', 'allied', 'soldiers', 'belgium', 'britain', 'canada', 'france', 'cut', 'surrounded', 'german', 'army', 'beaches', 'harbour', 'dunkirk', 'may', 'june', 'world', 'war', 'ii']","['war', 'action', 'drama']","['army', 'beach', 'france', 'allies', 'military', 'officer', 'world', 'war', 'ii', 'evacuation', 'pilot', 'british', 'army', 'rescue', 'mission', 'europe', 'based', 'true', 'story', 'royal', 'navy', 'survival', 'historical', 'fiction', 'soldier', 'private', 'military', 'dunkirk', 'royal', 'air', 'force', 'raf']","['warner bros. pictures', 'syncopy', 'ratpac entertainment']",7.3964287799379,2010s,"[-0.01016375  0.04115158  0.0747813   0.00653009  0.01638266 -0.07972889
  0.15885787  0.14448948 -0.1806177  -0.07455125]","[ 0.04092449  0.05022216  0.71203476 -0.04056756  0.01937189  0.2547741
  0.6997032   0.4000573  -0.2643196  -0.436116  ]",[ 0.01333026  0.25178185  0.22456588 -0.00088527 -0.0937699 ],[ 0.00247073  0.03741594  0.06695389  0.0737448  -0.1278733 ]
409,409,183,['united states of america'],43.866,7.471,"['fading', 'actor', 'best', 'known', 'portrayal', 'popular', 'superhero', 'attempts', 'mount', 'comeback', 'appearing', 'broadway', 'play', 'opening', 'night', 'approaches', 'attempts', 'become', 'altruistic', 'rebuild', 'career', 'reconnect', 'friends', 'family', 'prove', 'difficult', 'expected']","['drama', 'comedy']","['new', 'york', 'city', 'midlife', 'crisis', 'superhero', 'dark', 'comedy', 'times', 'square', 'marijuana', 'broadway', 'magic', 'realism', 'meditative', 'city', 'life', 'father', 'daughter', 'relationship']","['tsg entertainment', 'worldview entertainment', 'new regency pictures', 'm productions', 'le grisbi productions']",7.395396645152095,2010s,"[-0.00322802  0.06931491  0.12574801 -0.01404555  0.06219293 -0.08482287
  0.1267814   0.15272951 -0.1629309  -0.05003268]","[ 7.5242765e-02 -6.5241195e-04  5.1975119e-01 -5.1885944e-02
  1.9986516e-01  2.0880608e-01  8.4415346e-01  3.7440392e-01
 -4.7615096e-01 -3.2624236e-01]",[-0.06158723  0.27261314  0.21335427 -0.01034483 -0.10112751],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
410,410,1615,['united states of america'],13.69,7.727,"['supposed', 'peaceful', 'protest', 'turned', 'violent', 'clash', 'police', 'followed', 'one', 'notorious', 'trials', 'history']","['drama', 'history']","['chicago', 'illinois', 'right', 'justice', 'political', 'activism', 'black', 'panther', 'party', 'based', 'true', 'story', 'black', 'activist', 'historical', 'fiction', 'activist', 'courtroom', 'drama']","['dreamworks pictures', 'marc platt productions']",7.3952092007814665,2020s,"[-0.03745704  0.03769625  0.1064771   0.0366094  -0.02885622 -0.0978338
  0.15109776  0.15718275 -0.1352962  -0.04537118]","[ 0.01804003  0.12971629  0.56983995 -0.12242735  0.1322611   0.23004808
  0.7406309   0.46527556 -0.3393707  -0.38953403]",[-0.10791518  0.33082157  0.20846578 -0.00848375 -0.08689959],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
411,411,1940,['south korea'],24.682,7.802,"['dangerous', 'psychopath', 'kills', 'pleasure', 'agent', 'decides', 'track', 'murderer', 'promises', 'everything', 'power', 'take', 'vengeance', 'killer', 'even', 'means', 'must', 'become', 'monster']","['thriller', 'horror']","['psychopath', 'cemetery', 'police', 'chief', 'secret', 'agent', 'revenge', 'murder', 'serial', 'killer', 'mercilessness', 'severed', 'head', 'brutality', 'cannibal', 'tracking', 'device', 'south', 'korea', 'sadistic', 'killer']","['softbank ventures', 'peppermint&company', 'siz entertainment', 'finecut', 'michigan venture capital', 'cj entertainment', 'showbox']",7.395068932965133,2010s,"[-0.09121409  0.02587914 -0.01531499 -0.04622303  0.08938017  0.00597668
  0.08550879  0.15854183 -0.08380122  0.03990897]","[ 0.04308512  0.1193127   0.6941949  -0.07102584  0.13676146  0.34015423
  0.63835615  0.37768576 -0.3568047  -0.48818085]",[ 0.10065942  0.06319482 -0.02491079 -0.05669939  0.11791009],[0. 0. 0. 0. 0.]
412,412,788,"['united kingdom', 'united states of america']",20.346,7.57,"['three', 'weeks', 'left', 'three', 'year', 'contract', 'sam', 'bell', 'getting', 'anxious', 'finally', 'return', 'earth', 'occupant', 'manufacturing', 'facility', 'along', 'computer', 'assistant', 'gerty', 'accident', 'however', 'wakens', 'find', 'alone']","['science', 'fiction', 'drama']","['future', 'moon', 'artificial', 'intelligence', 'isolation', 'clone', 'dystopia', 'space', 'cloning', 'moon', 'base']","['lunar industries', 'liberty films', 'xingu films', 'limelight fund', 'stage 6 films', 'sony pictures classics', 'independent']",7.394772661077198,2000s,"[-0.08188768  0.06772905  0.05840163 -0.06749355  0.08057263 -0.06685498
  0.14676456  0.11299276 -0.15132783  0.02038861]","[ 0.14496058 -0.24592464  0.95102423 -0.3558995  -0.2610533   0.21170455
  0.6441757   0.3222123  -0.01446214 -0.5107308 ]",[ 0.03882906  0.12486215  0.2793539   0.08080073 -0.15419886],[-0.07279584  0.06966176  0.14381105  0.04305519 -0.13837245]
413,413,1508,['united states of america'],24.204,7.7,"['years', 'second', 'world', 'war', 'tomboyish', 'postulant', 'austrian', 'abbey', 'hired', 'governess', 'home', 'widowed', 'naval', 'captain', 'seven', 'children', 'brings', 'new', 'love', 'life', 'music', 'home']","['drama', 'family', 'music', 'romance']","['resistance', 'world', 'war', 'ii', 'musical', 'austria', 'music', 'competition', 'based', 'play', 'musical', 'alps', 'mountains', 'governess', 'convent', 'nunnery', 'novice', 'puppet', 'show', 'nun', 'love', 'nazi', 'occupation']","['robert wise productions', 'argyle enterprises', '20th century fox']",7.393491392699877,1960s,"[-0.05903487  0.04859141  0.09997328 -0.00219948  0.09239919 -0.05306666
  0.07309926  0.09006558 -0.10216528 -0.02054341]","[ 0.09835368  0.04180989  0.55610645 -0.14654864  0.09696399  0.1667646
  0.7849584   0.48011872 -0.3710759  -0.34080428]",[ 0.0276906   0.4818214   0.52601224 -0.11796091 -0.32424453],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
